Core_Material,Size,Zeta_Potential,Tumor_Size,Tumor,Heart,Liver,Spleen,Lung,Kidney
Gold,TEM: 37.5,-18,100 mm3=0.1 cm3,1.64,0.4174,29.03,2.76,0.27,1.07
,,,,2.06,0.3728,31.7,3.05,0.41,1.22
,,,,2.01,0.1669,21.74,2.47,0.2,0.54
Gold,TEM: 44.7,0,100 mm3=0.1 cm3,0.96,,,,,
,,,,1.77,,,,,
,,,,1.79,,,,,
Gold,HD: 42,-5,,2.85,0.4866,8.89,0.58,0.7,2
,,,,4.28,0.3244,13.09,2.96,0.43,1.4
,,,,1.65,0.292,10.62,6.76,0.38,0.84
Gold,HD: 38.3,-5,,10.09,,,,,
,,,,4.1,,,,,
,,,,1.6,,,,,
Gold,TEM: 50; HD: 68.4,-9.3,100-250 = 0.175 cm3,0.45,0.2638,50.86,2.23,1.11,2.07
,,,,0.6,0.1814,45.46,2.17,0.71,1.83
,,,,2.32,0.4617,56.01,2.79,0.98,3.8
Gold,TEM: 15; HD: 49.5,-0.64,1-1.2 cm3,11.3,,,,,
,,,,13.35,,,,,
,,,,18.39,,,,,
,,,,26.03,,,,,
,,,,32.46,,,,,
,,,,22.88,,,,,
Gold,TEM: 30; HD: 60,-11,1-1.2 cm3,16.54,,,,,
,,,,21.87,,,,,
,,,,30.6,,,,,
,,,,34.3,,,,,
,,,,26.34,,,,,
,,,,14.64,,,,,
Gold,TEM: 60; HD: 100.4,-9,1-1.2 cm3,20.47,,,,,
,,,,28.38,,,,,
,,,,38.88,,,,,
,,,,28.86,,,,,
,,,,22.08,,,,,
,,,,9.64,,,,,
Gold,TEM: 15; HD: 46.3,-6.7,1-1.2 cm3,6.95,,,,,
,,,,10.35,,,,,
,,,,18.39,,,,,
,,,,21.27,,,,,
,,,,22.39,,,,,
,,,,16.9,,,,,
Gold,TEM: 30; HD: 64.2,-15,1-1.2 cm3,7.69,,,,,
,,,,10.84,,,,,
,,,,13.99,,,,,
,,,,16.6,,,,,
,,,,17.63,,,,,
,,,,10.96,,,,,
Gold,TEM: 60; HD: 104.2,-10,1-1.2 cm3,4.96,,,,,
,,,,8.19,,,,,
,,,,11.91,,,,,
,,,,14.17,,,,,
,,,,12.55,,,,,
,,,,9.64,,,,,
Gold,TEM: 100; HD: 175.6,-5,1-1.2 cm3,3.99,,,,,
,,,,8.19,,,,,
,,,,10.75,,,,,
,,,,11.42,,,,,
,,,,9.34,,,,,
,,,,4.92,,,,,
Gold,TEM: 100; HD: 166,-6,1-1.2 cm3,5.89,,,,,
,,,,6.29,,,,,
,,,,4.79,,,,,
,,,,5.18,,,,,
,,,,5.27,,,,,
,,,,4.24,,,,,
Gold,TEM: 2.56; HD: 6.07,,75 = 0.075 cm3,0.62,,,,,
,,,,0.85,,,,,
,,,,1.11,,,,,
,,,,1.34,,,,,
,,,,1.37,,,,,
Gold,TEM: 27.3,,300 = 0.3 cm3,0.14,0.4519,1.23,0.61,0.7,0.3
,,,,0.44,0.3496,1.82,1.49,0.45,0.21
,,,,0.12,0.2046,2.14,1.4,0.49,0.16
,,,,0.09,0.2217,1.82,1.33,1.16,0.32
,,,,0.02,0.1449,2.27,4.04,1.6,0.16
Gold,TEM: 16; HD: 17.1,-9.8,100 = 0.1 cm3,1.72,,,,,
,,,,1.18,,,,,
,,,,0.97,,,,,
Gold,TEM: 16; HD: 31,-10.5,100 = 0.1 cm3,0.95,,,,,
,,,,0.53,,,,,
,,,,0.28,,,,,
Gold,TEM: 7.8; HD: 24.1,-21.3,150-200 = 0.15-0.2 cm3,1.17,2.2153,21.95,0.98,0.35,2.06
,,,,1.8,1.8175,20.93,0.9,0.26,1.94
,,,,1.87,0.6976,15.85,0.71,0.2,1.2
,,,,1.74,0.3366,13,0.5,0.19,1.1
Gold,TEM: 7.8; HD: 25.8,21.7,150-200 = 0.15-0.2 cm3,0.5,1.7583,23.46,1.07,0.33,1.71
,,,,0.59,0.9283,21.45,0.84,0.28,1.51
,,,,0.81,0.3935,16.67,0.62,0.21,1.52
,,,,0.64,0.3873,14.89,0.58,0.19,1.23
Gold,TEM: 7.8; HD: 20.8,24.6,150-200 = 0.15-0.2 cm3,0.5,1.4097,24.79,0.99,0.16,1.19
,,,,0.63,0.9132,22.59,0.88,0.14,1.11
,,,,0.64,0.5577,18.3,0.69,0.07,1.11
,,,,0.53,0.3739,15.27,0.53,0.08,1.11
Gold,TEM: 7.8; HD: 18.2,25.4,150-200 = 0.15-0.2 cm3,0.43,0.8991,29.27,1.18,0.26,1.31
,,,,0.48,0.5656,27.56,1.01,0.26,1.18
,,,,0.51,0.3335,21.7,0.69,0.18,1.06
,,,,0.38,0.261,17.89,0.67,0.13,0.99
Gold,TEM: 2; HD: 6.1,-5,150-200 = 0.15-0.2 cm3,0.44,,,,,
,,,,0.34,,,,,
,,,,0.64,,,,,
,,,,1.21,,,,,
,,,,1.37,,,,,
,,,,2.86,,,,,
,,,,1.82,,,,,
,,,,1.47,,,,,
Gold,TEM: 56.8; HD: 69.8,0,100 mm3=0.1 cm3,0.2,0.4734,22.33,0.25,1.25,1.02
,,,,1.37,1.4424,36.16,0.3,1.59,2.23
,,,,2.79,0.3141,38.47,0.54,0.05,0.13
Gold,TEM: 49.6; HD: 111.3,0,100 mm3=0.1 cm3,0.12,0.2638,44.86,9.29,0.69,0.61
,,,,0.56,0.4073,52.34,10.33,0.63,0.53
,,,,0.87,0.2183,64.85,10.22,0.23,0.14
Gold,TEM: 92; HD: 130.5,0,100 mm3=0.1 cm3,0.15,0.4125,40.87,5.87,0.71,0.92
,,,,0.5,0.3076,57.73,7.85,1.04,0.57
,,,,0.55,0.0798,56.38,8.87,0.63,0.1
Gold,TEM: 39.2; HD: 77,0,100 mm3=0.1 cm3,0.15,0.2029,43.27,3.69,0.58,0.42
,,,,0.11,0.1081,59.17,4.76,0.41,0.05
,,,,0.22,0.0532,52.39,4.86,0.14,0.07
Gold,TEM: 2.3; HD: 5.5,0,180 = 0.18 cm3,1.73,0.5769,4.49,0.36,0.88,3.14
,,,,2.59,0.4166,3.39,0.27,0.85,2.55
,,,,5.18,0.1202,3.26,0.19,0.25,2.51
,,,,10.37,0.1122,3.84,0.25,0.17,2.48
Gold,TEM: 4.8; HD: 31,,7-8.5 mm ~ 300 mm3 = 0.3 cm3,1.2,,13.59,,,
,,,,2.29,,11.02,,,
,,,,2.37,,11.74,,,
,,,,2.4,,11.76,,,
,,,,2.39,,11.17,,,
,,,,2.28,,10.23,,,
Gold,TEM: 30.3; HD: 63.7,10.2,,0.94,0.7717,33.77,3.19,0.72,1.82
,,,,2.53,0.6941,38.47,3.7,0.75,1.91
,,,,2.77,0.1964,43.79,3.28,0.29,1.04
Gold,TEM: 54.5; HD: 96,18.7,,0.35,0.0793,43.03,5.07,0.16,0.49
,,,,0.41,0.0513,37.18,6.27,0.11,0.31
,,,,0.52,0.0467,18.38,4.44,0.12,0.33
Gold,TEM: 30; HD: 66.5,-2.6,~270 mm3 = 0.27 cm3,0.25,,6.91,0.65,,
,,,,0.98,,16.44,1.27,,
,,,,0.96,,29.13,5.44,,
Gold,TEM: 30; HD: 62.8,-27.1,~270 mm3 = 0.27 cm3,0.24,,8.94,0.62,,
,,,,1.06,,17.59,1.58,,
,,,,0.67,,34.9,6.37,,
Gold,TEM: 30; HD: 71.7,-2.9,~270 mm3 = 0.27 cm3,0.26,,2.88,0.43,,
,,,,0.71,,11.82,4.78,,
,,,,1.22,,31.15,7.02,,
Gold,TEM: 30; HD: 60.2,-10.6,~270 mm3 = 0.27 cm3,0.02,,15.57,2.36,,
,,,,0.02,,41.53,2.14,,
,,,,0.06,,51.33,1.65,,
Gold,TEM: 43; HD: 63,0,,0.12,0.2254,1.22,1.08,0.61,0.35
,,,,0.41,0.2213,2.62,3.77,0.32,0.21
,,,,0.52,0.0644,2.27,3.91,0.05,0.08
,,,,0.16,0.0845,5.42,17.11,0.05,0.16
Gold,TEM: 60.2; HD: 15,-10,50-100 = 0.05-0.1 cm3,0.75,0.6258,29.66,2.36,0.61,0.93
,,,,0.78,0.4867,37.87,6.54,0.27,1.15
,,,,1.1,0.2086,44.75,4.77,0.31,1.22
Gold,TEM: 60.5; HD: 15,-44.1,50-100 = 0.05-0.1 cm3,0.28,0.1031,73.31,13.12,0.3,0.42
,,,,0.28,0.3094,63.36,9.89,0.44,0.64
,,,,0.22,4.5e-15,55.25,8,0.3,0.64
Gold,TEM: 45; HD: 10,1.1,4.17 cm3,2.91,0.3427,4.54,0.13,0.27,0.29
,,,,13.84,0.1877,4.6,0.34,0.4,0.54
,,,,16.28,0.1877,9.51,0.47,0.37,0.49
,,,,9.17,0.0734,13.3,1.11,0.12,0.81
,,,,2.06,0.0653,10.44,1.72,0.04,0.45
Gold,TEM: 50; HD: 88.9,-27.1,4.17 cm3,0.92,0.3087,23.11,1.08,0.23,0.55
,,,,3.29,0.1323,25.39,1.67,0.38,0.18
,,,,1.38,0.0088,25.59,1.79,0.05,0.04
,,,,0.99,0.0088,45.68,2.21,0.04,0.02
,,,,0.54,0.0529,8.53,2.08,0.01,0.02
Gold,TEM: 43.3; HD: 82.6,0,,0.44,,0.01,0.09,,
,,,,0.75,,0.19,1.2,,
,,,,1.31,,6.99,1.72,,
,,,,0.74,,0.87,5.85,,
Gold,TEM: 22.6; HD: 39.6,0,,1.12,,0.42,0.17,,
,,,,3.98,,2.96,1.05,,
,,,,0.11,,1.99,0.15,,
,,,,0.24,,2.2,0.4,,
Gold,TEM: 32.5; HD: 61.3,0,,0.05,,0.01,0.02,,
,,,,0.35,,0.06,1.24,,
,,,,0.52,,0.05,2.65,,
,,,,1.29,,22.93,8.14,,
Gold,TEM: 83.5; HD: 99.4,0,,2.1,,0.65,0.53,,
,,,,0.46,,5.55,0.89,,
,,,,0.82,,1.43,8.7,,
,,,,0.02,,5.37,0.71,,
Gold,TEM: 16.6; HD: 22.4,0,,0.01,,0.01,0.33,,
,,,,0.02,,0.14,0.09,,
,,,,0.04,,0.06,0.03,,
,,,,0.01,,0.08,0.02,,
Other-SiO2@AuNR,TEM: 110; HD: 41.8,-0.06,500 mm3 = 0.5 cm3,0.11,0.0563,68.46,5.69,0.56,0.27
,,,,0.83,0.0432,70.47,8.66,0.31,0.25
,,,,0.66,0.0148,70.69,7.34,0.04,0.11
Gold,TEM: 2; HD: 7.2,-23.5,500 mm3 = 0.5 cm3,0.3,0.1994,73.6,3.56,0.33,5.18
,,,,0.6,0.1352,69.13,4.81,0.19,5.43
,,,,0.22,0.0295,46.98,3.94,0.03,2.57
Other-SiO2@AuNR,TEM: 110; HD: 44.3,-14.1,500 mm3 = 0.5 cm3,0.09,0.0648,73.15,5.97,0.63,0.11
,,,,0.45,0.033,77.18,11,0.29,0.07
,,,,0.17,0.0142,74.05,9.78,0.11,0.05
Gold,TEM: 60; HD: 20.2,-20.2,500 mm3 = 0.5 cm3,0.06,0.0773,78.97,6.41,0.4,0.09
,,,,0.28,0.017,74.72,10.66,0.23,0.07
,,,,0.2,0.0091,79.87,8.84,0.14,0.09
Gold,TEM: 3.8; HD: 71.7,6.1,40.5 = 0.041 cm3,0.05,0.1475,34.14,2.5,0.47,0.39
,,,,0.04,0.0431,31.12,1.63,0.28,0.3
,,,,0.02,0.0414,31.45,3.43,0.58,0.48
Gold,HD: 5,,> 0.5 cm3,0.94,0.8258,5.09,0.46,1.32,3.31
,,,,3.5,0.3526,2.97,0.23,0.65,2.98
,,,,3.93,0.3248,4.17,0.28,0.46,6.56
,,,,1.85,0.167,4.03,0.24,0.39,3.35
Gold,HD: 5,,> 0.5 cm3,0.63,0.4484,24.6,2.13,0.86,1.53
,,,,1.85,0.3569,18.68,1.69,0.46,1.92
,,,,2.52,0.1007,22.1,1.9,0.21,2.75
,,,,0.98,0.1281,30.39,2.39,0.13,1.26
Gold,HD: 5,2.5,> 0.5 cm3,0.63,0.4465,23.88,2.04,0.83,1.51
,,,,1.89,0.3895,22.43,1.75,0.45,1.78
,,,,2.46,0.1045,21.2,1.86,0.21,2.68
,,,,0.95,0.1235,29.3,2.32,0.14,1.23
Gold,HD: 22,,> 0.5 cm3,2.05,0.856,30.22,5.53,18.1,2.45
,,,,1.47,0.3341,37.78,11.24,9.32,1.81
,,,,0.6,0.3132,35.26,7.2,9.91,1.2
Gold,HD: 22,,> 0.5 cm3,1.35,0.9795,61.11,9.42,22.35,5.09
,,,,0.61,0.6717,36.84,10.69,14.61,2.88
,,,,0.43,0.2612,54.84,7.71,9.02,1.81
Gold,HD: 11,,> 0.5 cm3,0.67,4.9012,31.92,22.98,1.45,1.38
,,,,0.42,3.8095,37.88,21.16,0.52,0.44
,,,,0.24,0.1894,58.31,11.62,0.11,0.14
,,,,0.18,0.1559,44.27,8.86,0.08,0.09
Gold,HD: 2.7,-18.4,4.17 cm3,3.78,0.0081,0.23,0.04,0.03,0.04
,,,,2.05,0.0055,0.14,0.03,0.01,0.03
,,,,1.33,0.0026,0.19,0.03,0.01,0.07
Gold,HD: 2.7,-22.1,4.17 cm3,1.41,0.0035,0.14,0,0.01,0.09
,,,,1.99,0.003,0.15,0.01,0,0.06
,,,,1.29,0.0012,0.16,0.02,0.01,0.07
Gold,HD: 2.7,-42.3,4.17 cm3,1.5,0.0379,0.44,0.03,0.05,0.07
,,,,1.96,0.0018,0.35,0.03,0.01,0.1
,,,,0.99,0.002,0.15,0.01,0.01,0.04
Gold,HD: 2.7,-25.6,4.17 cm3,1.95,0.0164,0.27,0.02,0.04,0.07
,,,,1.59,0.0063,0.26,0.02,0.01,0.03
,,,,0.78,0.0022,0.1,0.02,0.01,0.07
Gold,HD: 2.7,-16.6,4.17 cm3,1.09,0.0025,0.14,0,0.02,0.02
,,,,1.55,0.0032,0.15,0.01,0,0.04
,,,,0.62,5e-4,0.16,0.01,0,0.02
Gold,HD: 2.7,-16.8,4.17 cm3,1.02,0.002,0.16,0,0,0.04
,,,,0.9,7e-4,0.14,0.01,0,0.03
,,,,1.05,0.0029,0.23,0.02,0.01,0.04
Gold,TEM: 37.7; HD: 51.6,3,100 mm3=0.1 cm3,0.7,1.6606,19.99,1.96,1.4,3.05
,,,,2.28,1.2158,21.74,2.54,1.09,2.64
,,,,4.67,1.1565,31.85,3.28,1.62,1.99
Gold,TEM: 22,-25.9,0.3-0.6 cm3,0.69,0.2929,3.95,0.21,0.18,0.64
,,,,1.15,0.2846,4.13,0.21,0.22,1.29
,,,,1.32,0.2449,2.55,0.18,0.13,0.84
Gold,TEM: 50,-9.2,~180 mm3 = 0.18 cm3,7.02,5.1866,83.95,47.02,2.53,5.34
,,,,10.53,4.5383,128.39,58.91,1.9,5.34
,,,,4.68,2.5933,49.38,8.78,1.9,4.01
Gold,TEM: 60,-11,~180 mm3 = 0.18 cm3,4.2,2.3259,68.33,36.01,1.62,2.05
,,,,4.8,1.6613,93.64,47.93,0.97,4.11
,,,,4.2,1.3291,184.74,95.07,0.97,2.05
Gold,TEM: 4.5,,400 mm3 = 0.4 cm3,2.15,,13.57,1.06,1.63,2.06
,,,,1.34,,13.57,1.48,1.83,2.4
,,,,4.16,,18.27,2.03,1.25,1.47
,,,,6.69,,20.63,2.67,1.39,1.47
,,,,8.68,,27.5,4.6,0.3,0.39
Iron Oxide,TEM: 10; HD: 24.4,-28.6,200 mm3 = 0.2cm3,0.28,0.6947,33.86,1.22,0.11,1.05
,,,,0.44,0.5368,30.51,1.12,0.2,1.37
,,,,0.99,0.4632,29.47,0.91,0.28,2.04
,,,,1.11,0.4842,24.73,0.97,0.32,1.65
,,,,1.16,0.3579,21.04,0.6,0.23,1.2
Iron Oxide,TEM: 16,,65 mm3 = 0.065 cm3,0.59,0.7455,8.19,0.71,0.5,1.98
,,,,0.79,0.547,9.59,0.86,0.31,1.68
,,,,1.03,0.2585,11.64,0.94,0.13,0.81
Iron Oxide,TEM: 50; HD: 139.1,-11.6,50-100 mm3 ~ 0.075 cm3,0.32,0.2527,8.16,3.97,0.09,0.58
,,,,0.62,0.1277,10.43,3.49,0.14,1.18
,,,,0.61,0.1277,13.93,4.69,0.04,2
,,,,0.43,0.0838,8.19,3.05,0.05,1.11
,,,,0.43,0.0638,9.79,1.76,0.02,0.55
Iron Oxide,HD: 68,,~180 mm3 = 0.18 cm3,1.06,,15.12,,,
,,,,1.32,,11.67,,,
,,,,1.36,,9.8,,,
,,,,1.3,,7.2,,,
,,,,1.29,,6.23,,,
Iron Oxide,HD: 68,,~180 mm3 = 0.18 cm3,0.46,,18.93,,,
,,,,0.57,,17.48,,,
,,,,0.63,,16.39,,,
,,,,0.62,,9.07,,,
,,,,0.54,,7.92,,,
Iron Oxide,TEM: 30; HD: 50.8,,500 mm3 = 0.5 cm3,1.96,0.2399,0.44,0.14,0.26,0.49
,,,,1.72,0.3343,0.41,0.32,0.23,0.23
,,,,0.37,0.3881,1.48,0.55,0.78,0.63
Iron Oxide/Polymeric,TEM: 20,,238±32 mm3 = 0.24 cm3,5.01,,26.22,1.78,0.68,2.05
,,,,7.64,,21.24,1.51,0.4,1.77
,,,,5.28,,20.35,1.62,0.54,1.45
,,,,5.01,,18.3,1.43,0.4,1.13
Silica,TEM: 20; HD: 22.3,-4.6,100 mm3=0.1 cm3,6,0.6251,17.83,1.75,0.94,5.48
,,,,7.2,0.5453,11.45,1.07,0.77,5.1
,,,,8.8,0.3724,11.85,1.2,0.69,7.18
,,,,11.2,0.3059,10.74,1.05,0.43,6.27
,,,,8.6,0.2394,9.32,0.99,0.35,4.66
,,,,9.4,0.266,10.23,1.02,0.35,4.14
Silica,TEM: 20; HD: 28.1,-0.6,100 mm3=0.1 cm3,6,0.5852,12.76,1.2,0.87,4.69
,,,,9,0.5054,11.75,1.11,0.9,5.29
,,,,9,0.3458,8.31,0.88,0.61,5.59
,,,,8,0.266,11.35,1.08,0.47,5.95
,,,,6.8,0.2394,10.74,1.17,0.4,4.69
,,,,6.4,0.2394,8.91,0.95,0.35,4
Silica,TEM: 20; HD: 39.4,-4.5,100 mm3=0.1 cm3,3.8,0.3059,26.24,1.48,0.74,4.66
,,,,4.2,0.2128,24.82,1.26,0.46,4.44
,,,,6,0.2394,32.21,1.45,0.44,4.99
,,,,5,0.1596,23.81,1.25,0.26,3.84
,,,,5.6,0.1596,28.26,1.77,0.25,4.3
,,,,5,0.1463,20.26,1.22,0.25,2.74
Silica,TEM: 20; HD: 40.3,-3.3,100 mm3=0.1 cm3,3.6,0.3059,26.74,1.78,0.75,3.12
,,,,5.4,0.3059,29.98,1.65,0.68,3.37
,,,,5.2,0.266,30.39,1.69,0.51,4.55
,,,,5.2,0.1862,24.82,1.66,0.29,249.86
,,,,4.8,0.1862,27.76,1.83,0.29,2.63
,,,,5,0.1995,22.39,1.89,0.33,2.22
Silica,TEM: 150; HD: 226.2,-3.5,150-200 mm3 = 0.15-0.2 cm3,1.51,,23.53,,,
,,,,1.69,,19.35,,,
,,,,1.4,,17.02,,,
,,,,0.94,,11.28,,,
Silica,TEM: 150; HD: 219.4,-3.6,150-200 mm3 = 0.15-0.2 cm3,0.67,,24.56,,,
,,,,1.03,,16.05,,,
,,,,0.9,,15.41,,,
,,,,0.46,,10.02,,,
Silica,TEM: 50; HD: 59,-7.4,0.065,0.37,0.503,57.82,1.05,0.67,0.64
,,,,0.36,0.5259,52.77,0.87,0.54,0.57
,,,,0.31,0.4916,49.72,0.8,0.61,0.57
Silica,TEM: 80; HD: 125.2,-10.9,~60 mm3 = 0.06 cm3,0.16,,24.19,,,
,,,,0.21,,20.32,,,
,,,,0.19,,16.86,,,
,,,,0.16,,13.67,,,
Silica,TEM: 80; HD: 129,-10.2,~60 mm3 = 0.06 cm3,0.54,,24.55,,,
,,,,0.63,,17.17,,,
,,,,0.6,,14.97,,,
,,,,0.36,,11.33,,,
Silica,TEM: 150; HD: 194.4,-5.1,150-200 mm3 = 0.15-0.2 cm3,1.78,,18.94,,,
,,,,2.08,,14.69,,,
,,,,1.37,,10.84,,,
,,,,1.25,,11.24,,,
Silica,TEM: 150; HD: 194.4,-5.1,150-200 mm3 = 0.15-0.2 cm3,0.61,,28.16,,,
,,,,0.67,,24.11,,,
,,,,0.63,,15.09,,,
,,,,0.61,,15.6,,,
Silica,TEM: 80; HD: 175.3,-3.25,150-200 mm3 = 0.15-0.2 cm3,0.45,,21.17,,,
,,,,0.5,,19.65,,,
,,,,0.44,,16.41,,,
,,,,0.41,,13.98,,,
,,,,0.35,,10.64,,,
Silica,TEM: 80; HD: 175.3,-3.25,150-200 mm3 = 0.15-0.2 cm3,1.16,,23.5,,,
,,,,1.12,,19.75,,,
,,,,0.82,,12.87,,,
,,,,0.82,,11.85,,,
,,,,0.7,,9.32,,,
Silica,HD: 6.8,0,200 mm3 = 0.2 cm3,0.23,0.0963,1.44,0.05,0.36,0
,,,,0.07,0.0499,0.82,0.13,0.03,0.41
,,,,0.03,0.0071,0.52,0.04,0.01,0.03
Silica,HD: 7,-3,200 mm3 = 0.2 cm3,0.37,0.6171,4.29,0.28,0.54,0.97
,,,,0.24,0.0785,2.17,0.19,0.1,0.37
,,,,0.17,0.0392,3.1,0.28,0.05,0.3
,,,,0.18,0.0571,2.09,0.41,0.07,0.5
,,,,0.03,0.0143,1.06,0.08,0.01,0.06
Other-MoS2-Fe3O4,TEM: 80; HD: 168,-2.7,150-200 mm3 = 0.15-0.2 cm3,1.14,,22.49,,,
,,,,1.19,,19.35,,,
,,,,1.23,,17.42,,,
,,,,1,,15.9,,,
,,,,0.92,,15.09,,,
,,,,0.74,,11.95,,,
Other-CaP,TEM: 80; HD: 150.2,-2.3,150-200 mm3 = 0.15-0.2 cm3,0.55,,16.21,,,
,,,,0.63,,14.28,,,
,,,,0.6,,13.47,,,
,,,,0.51,,9.42,,,
,,,,0.51,,9.42,,,
,,,,0.47,,7.09,,,
Other- Manganese,TEM: 35; HD: 53.2,-12.4,1-1.2 cm3,2.1,0.0103,0.86,0.1,0.03,0.03
,,,,3.13,0.0103,1.01,0.12,0.03,0.04
,,,,8.34,0.0093,1.15,0.33,0.03,0.05
,,,,4.23,0.0072,0.62,0.22,0.02,0.03
Iron Oxide,TEM: 24; HD: 32,,0.52-4.19 cm3,5.43,,,,,
,,,,5.86,,,,,
,,,,2.68,,,,,
Iron Oxide,TEM: 100; HD: 190.1,-21.9,100 mm3 = 0.1 cm3,0.36,0.3251,2.92,0.8,0.23,0.44
,,,,0.44,0.2911,3.79,0.85,0.29,0.49
,,,,0.49,0.2124,7.99,1.44,0.74,0.86
,,,,0.25,0.1967,6.73,1.25,0.32,0.38
,,,,0.06,0.1783,5.31,0.18,0.08,0.37
Iron Oxide,TEM: 55; HD: 80,-0.5,100 mm3 = 0.1 cm3,0.11,,,,,
,,,,0.31,,,,,
,,,,0.39,,,,,
,,,,0.47,,,,,
Iron Oxide,TEM: 105; HD: 100,3,65 mm3 = 0.065 cm3,39.91,7.0514,16.2,1.07,0,4.61
,,,,34.38,15.3339,55.41,0.18,2.41,14.53
,,,,6.53,9.066,18.75,5.17,6.67,6
Other-Mg2Al-Co3 LDH,TEM: 100; HD: 150,-19,~200 mm3 = 0.2 cm3,0.84,,58.83,,,
,,,,1.73,,36.9,,,
,,,,1.85,,21.51,,,
,,,,1.63,,22.23,,,
Other-Cobalt,TEM: 8.5,-14.6,100-200 mm3 = 0.15 cm3,0.34,0.0973,2.25,0.27,0.28,0.67
,,,,0.3,0.0702,1.81,0.14,0.21,0.29
,,,,0.13,0.0099,0.5,0.04,0.04,0.16
Other-Au@C60,TEM: 112.2,-9.8,60-100 mm3 = 0.08 cm3,0.72,0.2104,3.31,0.21,0.54,0.56
,,,,1.04,0.2133,3.55,0.19,0.32,0.47
,,,,0.7,0.0989,2.25,0.12,0.28,0.2
Other-Au@C60,TEM: 143.4,-12.7,60-100 mm3 = 0.08 cm3,0.63,0.1987,3.53,0.16,0.59,0.61
,,,,0.85,0.2395,3.89,0.21,0.37,0.7
,,,,0.39,0.1678,2.89,0.18,0.36,0.32
Other-Bi2Se3,TEM: 112; HD: 438.3,-14.4,~400 mm3 = 0.4 cm3,0.46,0.9396,26.61,1.75,0.81,0.57
,,,,3,0.6352,34.07,2.1,0.54,1.04
,,,,2.01,0.3044,23.89,1.86,0.41,0.63
Other-CaP,TEM: 60; HD: 80,-0.5,100 mm3=0.1 cm3,0.54,,,,,
,,,,1.15,,,,,
,,,,1.97,,,,,
Silica,TEM: 40; HD: 255.3,-27.6,30 mm3 = 0.03 cm3,0.17,0.3635,47.33,4.02,0.89,1.3
,,,,0.25,0.4221,55.28,4.7,1.51,1.35
,,,,0.25,0.2228,63.59,5.16,1.75,2.9
Silica/Liposome,TEM: 120; HD: 210,27,500 mm3 = 0.5 cm3,1,0.7427,14.31,0.74,6.37,4.47
