Core_Material,Size,Zeta_Potential,Tumor_Size,Tumor,Heart,Liver,Spleen,Lung,Kidney
,,,,1.1,0.6596,20.49,0.9,2.46,3.68
,,,,1.13,0.5674,16.37,0.9,1.06,2.47
,,,,0.96,0.4705,15.96,1.04,1.02,2.42
,,,,1.05,0.1292,8.24,0.72,0.73,1.07
,,,,0.83,0.1107,8.34,0.71,0.6,0.98
,,,,0.74,0.1107,9.06,0.77,0.49,0.73
Silica/Liposome,TEM: 180; HD: 243,-11.7,15-50 mm3 = 0.032cm3,2.26,0.1856,13.96,0.89,2.34,1.11
,,,,7.35,1.1139,31.48,1.41,1.34,1.41
,,,,9.28,1.0396,34.52,1.89,1.34,0.89
Silica,TEM: 80; HD: 107.7,-14,200-400 mm3 = 0.3 cm3,0.98,0.182,30.82,0.78,1.15,2.86
,,,,2.07,0.322,28.26,0.9,1.19,2.74
,,,,2.89,0.35,20.37,1,1.2,1.73
,,,,1.35,0.168,9.38,0.33,0.45,0.4
Silica/PDA,TEM: 80; HD: 210,24.1,600-800 mm3 = 0.7 cm3,0.95,0.7716,18.78,24.14,4.46,3.82
,,,,5.27,0.8731,33.88,25.34,2.07,13.28
,,,,5.72,0.3147,31.84,15,2.95,4.9
,,,,6.09,0.2944,35.31,14.31,2.45,10.12
,,,,8.4,0.3858,12.65,15.34,1.57,8.88
Silica/PDA,TEM: 80; HD: 210,24.1,600-800 mm3 = 0.7 cm3,4.14,0.7716,17.14,20.86,4.58,4.23
,,,,5.27,0.9442,23.47,19.48,1.95,7.97
,,,,8.77,0.5076,27.14,10.69,2.95,6.06
,,,,23.13,0.3959,27.76,11.38,0.82,7.63
,,,,20.94,0.2538,12.86,12.76,2.76,7.55
Other-Gd3N@C80/Polymeric,HD: 49.2,0,100 mm3=0.1 cm3,0.22,,23.12,2.46,,2.15
,,,,0.43,,62.11,4.89,,0.98
,,,,0.41,,62.46,4.21,,0.61
,,,,0.33,,31.75,4.95,,0.61
,,,,0.35,,21.05,4.01,,0.61
Copper,TEM: 100; HD: 205,-25.5,100 mm3=0.1 cm3,0.17,,4.56,,0.15,0.57
,,,,0.26,,3.92,,0.12,0.41
,,,,0.1,,2.17,,0.11,0.49
,,,,0.08,,2.61,,0.09,0.59
,,,,0.1,,2.9,,0.05,0.44
,,,,0.06,,3.49,,0.06,0.36
,,,,0.04,,2.96,,0.04,0.28
,,,,0.02,,2.18,,0.03,0.32
,,,,0.02,,1.45,,0.02,0.2
,,,,0.01,,0.84,,0.01,0.12
Silica,TEM: 2.3,,125 mm3 = 0.125 cm3,0.12,1.205,35.8,1.64,3.4,2.34
,,,,0.37,1.3186,20.55,1.13,3.46,2.48
,,,,0.42,1.1822,13.04,0.9,3.29,1.36
,,,,0.1,1.1595,8.18,0.97,1.16,1.83
Silica,TEM: 127; HD: 210,-31.6,100 mm3=0.1 cm3,1.07,1.659,28.03,7.71,4.17,2.65
,,,,3.02,1.21,21.28,5.64,3.05,1.85
,,,,3.23,1.1725,15.01,3.82,2.02,1.67
,,,,2.2,0.8607,12.45,2.87,1.51,1.59
Silica,TEM: 125; HD: 222.6,-17.9,100 mm3=0.1 cm3,12.15,2.5073,2.67,4.4,1.33,0.6
,,,,24.43,1.0676,9.75,7.83,3.46,2.51
,,,,32.59,1.5529,7.44,8.59,2.49,1.96
Polymeric,HD: 36.7,-8.5,0.17,0.45,1.5142,8.07,0.59,2.6,5.23
,,,,0.56,1.064,8.75,0.65,1.9,5.14
,,,,0.97,1.1362,10.07,0.66,1.66,4.57
,,,,1.53,0.6644,11.75,0.87,0.99,3.39
,,,,1.29,0.4357,12.06,0.88,0.48,2.63
Polymeric,TEM: 25; HD: 37,,180 mm3 = 0.18 cm3,0.96,,16.39,,,
,,,,1.19,,16.1,,,
,,,,1.22,,11.9,,,
,,,,0.96,,8.56,,,
,,,,0.92,,8.16,,,
,,,,0.64,,6.75,,,
Polymeric,TEM: 25; HD: 37,,180 mm3 = 0.18 cm3,0.57,,19.33,,,
,,,,0.66,,18.72,,,
,,,,0.68,,17.11,,,
,,,,0.52,,13.61,,,
,,,,0.43,,13.1,,,
,,,,0.46,,5.36,,,
Polymeric,HD: 72,-0.5,100 mm3=0.1 cm3,0.15,,,,,
,,,,0.88,,,,,
,,,,0.85,,,,,
,,,,0.98,,,,,
Polymeric,HD: 72,-0.5,100 mm3=0.1 cm3,0.43,,,,,
,,,,0.42,,,,,
,,,,0.99,,,,,
,,,,1.56,,,,,
Polymeric,TEM: 20; HD: 22.26,-1.48,~270 mm3 = 0.27 cm3,2.91,0.4385,8.48,1.14,0.49,0.88
,,,,1.3,0.3711,8.04,0.92,0.57,0.92
,,,,0.42,0.2939,6.9,0.7,0.48,0.93
,,,,0.23,0.159,3.41,0.33,0.37,0.83
,,,,0.12,0.0723,1.58,0.2,0.28,0.68
,,,,0.03,0.0289,0.59,0.1,0.17,0.31
,,,,0.01,0.0048,0.26,0.03,0.09,0.16
Polymeric,TEM: 20; HD: 22.26,-1.48,~270 mm3 = 0.27 cm3,0.64,0.1925,9.97,0.6,1.29,1.78
,,,,0.73,0.1671,8.81,0.49,0.81,1.14
,,,,0.99,0.1199,3.79,0.41,0.36,0.57
,,,,0.64,0.0944,2.23,0.28,0.27,0.4
,,,,0.3,0.0726,1.75,0.22,0.17,0.19
,,,,0.11,0.0545,0.76,0.07,0.11,0.07
,,,,0.04,0.0145,0.24,0.04,0.05,0.01
Polymeric,TEM: 61.7; HD: 89,-7,30 mm3 = 0.03 cm3,0.03,0.062,0.85,0.1,0.07,0.29
,,,,0.02,0.0527,0.77,0.09,0.03,0.24
,,,,0.02,0.0388,0.6,0.06,0.03,0.19
Polymeric,TEM: 61.7; HD: 88,-24.16,30 mm3 = 0.03 cm3,0.06,0.0264,0.85,0.07,0.08,0.05
,,,,0.06,0.0248,0.57,0.07,0.06,0.05
,,,,0.06,0.0124,0.55,0.06,0.03,0.13
Polymeric,TEM: 320; HD: 227,-3.2,150 mm3 = 0.15 cm3,0.4,,0.66,0.44,0.2,
,,,,0.46,,1.02,0.87,0.3,
,,,,0.47,,2.07,1.14,0.17,
,,,,0.42,,1.16,0.6,0.04,
,,,,0.24,,0.06,0.04,0.01,
,,,,0.26,,0.01,0.01,,
Polymeric,HD: 263,-3.4,150 mm3 = 0.15 cm3,0.34,,1.14,1.06,0.11,
,,,,0.49,,1.48,1.86,0.35,
,,,,0.38,,2.81,2.07,0.13,
,,,,0.34,,1.75,1.91,0.04,
,,,,0.24,,0.78,0.87,0.01,
,,,,0.09,,0.42,0.28,0,
Polymeric,HD: 216,-3.11,150 mm3 = 0.15 cm3,2.4,,2.34,0.69,1.02,
,,,,1.28,,2.16,1.58,1.27,
,,,,0.31,,3.88,2.39,0.33,
,,,,0.04,,4.04,2.15,0.08,
,,,,0.04,,2.9,1.42,0.03,
,,,,0.03,,3.01,1.52,0.01,
Polymeric,HD: 216,-3.36,150 mm3 = 0.15 cm3,1.5,,5.33,1.21,0.5,
,,,,1.1,,6.52,3.24,1.25,
,,,,0.44,,6.35,3.75,0.33,
,,,,0.06,,5.49,2.73,0.14,
,,,,0.03,,5.27,1.88,0.07,
,,,,0.04,,2.57,1.91,0.04,
Polymeric,HD: 274.1,-12.13,160-200 mm3 = 0.18 cm3,0.62,0.4983,19.99,0.24,1.14,2.75
,,,,0.58,0.183,8.88,0.49,0.64,1.71
,,,,0.92,0.1207,1.38,0.29,0.42,1.04
,,,,1.13,0.0934,0.2,0.52,0.65,0.86
,,,,1.51,0.0817,3.42,0.69,0.76,0.98
,,,,1.61,0.0545,3.16,0.94,0.62,0.63
Polymeric,HD: 216.6,-14.34,160-200 mm3 = 0.18 cm3,0.43,0.9615,26.3,1.11,1.27,1.99
,,,,0.61,0.1907,19.99,0.6,0.63,1.38
,,,,0.72,0.1362,4.73,0.5,0.19,0.63
,,,,0.52,0.1051,1.58,0.17,0.09,0.58
,,,,0.31,0.035,0.26,0.17,0.08,0.43
,,,,0.15,0.0039,0.07,0.13,0.02,0.26
Polymeric,TEM: 15.96; HD: 30,-2.29,100 mm3=0.1 cm3,0.24,,,,,
,,,,0.53,,,,,
,,,,0.71,,,,,
,,,,1.22,,,,,
Polymeric,TEM: 29.54; HD: 54,-1.61,100 mm3=0.1 cm3,0.27,,,,,
,,,,0.72,,,,,
,,,,0.78,,,,,
,,,,1.1,,,,,
Polymeric,TEM: 46.18; HD: 69,-0.89,100 mm3=0.1 cm3,0.42,,,,,
,,,,0.69,,,,,
,,,,0.9,,,,,
,,,,1.19,,,,,
Polymeric,TEM: 66.88; HD: 110,0.15,100 mm3=0.1 cm3,0.25,,,,,
,,,,0.38,,,,,
,,,,0.69,,,,,
,,,,1,,,,,
Polymeric,TEM: 15.96; HD: 30,-2.29,100 mm3=0.1 cm3,0.25,,2.4,0.17,,1.24
,,,,0.81,,3.84,0.21,,1.12
,,,,0.99,,3.74,0.24,,1.25
,,,,1.31,,9.88,0.62,,1.3
Polymeric,TEM: 29.54; HD: 54,-1.61,100 mm3=0.1 cm3,0.27,,3.09,0.27,,1.39
,,,,0.38,,5.7,0.33,,1.47
,,,,0.65,,7.54,0.38,,1.06
,,,,0.83,,12.93,0.94,,1.48
Polymeric,TEM: 46.18; HD: 69,-0.89,100 mm3=0.1 cm3,0.22,,2.77,0.23,,1.29
,,,,0.31,,4.79,0.33,,1.29
,,,,0.37,,6.09,0.49,,1.35
,,,,0.51,,14.09,0.94,,0.81
Polymeric,TEM: 66.88; HD: 110,0.15,100 mm3=0.1 cm3,0.17,,2.79,0.2,,1.01
,,,,0.24,,4.28,0.26,,0.98
,,,,0.44,,10.61,0.25,,0.96
,,,,0.47,,16.33,0.74,,0.88
Polymeric,HD: 70.9,4,50 mm3 = 0.05 cm3,0.5,0.5586,2.23,0.31,0.35,0.13
,,,,0.65,0.5941,2.9,0.24,0.65,0.24
,,,,0.71,0.5852,4.73,0.23,0.72,0.28
,,,,0.84,0.4699,6.48,0.25,0.66,0.68
,,,,0.42,0.2217,4.86,0.23,0.58,0.9
Polymeric,HD: 86.6,2,50 mm3 = 0.05 cm3,0.4,0.5675,2.63,0.33,0.43,0.22
,,,,0.55,0.6473,3.65,0.45,0.72,0.26
,,,,0.59,0.6739,5.61,0.45,0.77,0.37
,,,,0.64,0.5675,8.51,0.43,0.77,0.74
,,,,0.32,0.3901,6.48,0.3,0.65,0.99
Polymeric,HD: 64,3,50 mm3 = 0.05 cm3,0.27,0.6739,3.24,0.49,0.58,0.26
,,,,0.29,0.7359,4.25,0.55,0.64,0.53
,,,,0.31,0.9221,6.01,0.61,0.86,1.07
,,,,0.35,0.8601,9.32,0.88,1.12,1.2
,,,,0.42,0.4788,6.28,0.57,0.94,1.27
Polymeric,HD: 88.9,-0.96,100 mm3=0.1 cm3,0.22,,3.4,0.43,,2.81
,,,,0.27,,5.62,0.79,,1.54
,,,,0.3,,5.33,1.03,,1.22
,,,,0.25,,5.12,1.09,,0.72
,,,,0.34,,8.2,1.66,,1.17
,,,,0.36,,9.43,1.98,,0.89
Polymeric,HD: 87.1,-0.47,100 mm3=0.1 cm3,0.17,,4.94,0.49,,4.28
,,,,0.23,,4.3,0.76,,0.68
,,,,0.17,,6.27,1.35,,0.39
,,,,0.21,,6.91,1.57,,0.56
,,,,0.22,,6.65,2.03,,0.63
Polymeric,HD: 64.21,-0.39,100 mm3=0.1 cm3,0.3,0.9088,2.94,0.27,,2.73
,,,,0.49,0.7031,4.97,0.54,,2.23
,,,,0.74,0.5638,7.26,0.57,,1.44
,,,,0.73,0.5439,8.64,0.74,,1.14
,,,,0.77,0.4046,8.05,0.68,,0.92
,,,,0.57,0.1957,9.62,1.13,,0.37
Polymeric,HD: 68.35,-1.07,100 mm3=0.1 cm3,0.31,1.0149,4.32,0.3,,2.56
,,,,0.45,0.6468,7,0.57,,2.15
,,,,0.74,0.5738,8.7,0.72,,1.2
,,,,0.72,0.5439,9.03,0.77,,0.79
,,,,0.64,0.3184,9.95,0.85,,0.7
,,,,0.49,0.0929,11.26,1.06,,0.38
Polymeric,HD: 69.22,-1.98,100 mm3=0.1 cm3,0.39,0.9486,3.34,0.35,,2.41
,,,,0.6,0.7894,5.89,0.6,,2.2
,,,,0.79,0.6235,7.59,0.75,,1.27
,,,,0.78,0.4411,7.98,0.68,,1.18
,,,,0.8,0.3648,9.36,0.77,,0.76
,,,,0.66,0.0796,10.47,1.08,,0.37
Polymeric,HD: 72.51,-2.33,100 mm3=0.1 cm3,0.32,1.0215,5.76,0.42,,2.19
,,,,0.65,0.7695,7.39,0.7,,2.29
,,,,0.78,0.6169,9.42,0.79,,1.48
,,,,0.77,0.471,9.03,0.75,,0.85
,,,,0.81,0.2852,9.62,0.97,,0.6
,,,,0.51,0.1095,12.24,1.17,,0.36
Polymeric,HD: 77.47,-6.95,100 mm3=0.1 cm3,0.37,1.0414,6.48,0.45,,2.48
,,,,0.58,0.7761,10.27,0.62,,2.26
,,,,0.88,0.6866,10.4,0.69,,1.14
,,,,0.83,0.4743,11.78,0.75,,0.75
,,,,0.84,0.2521,13.48,1.02,,0.66
,,,,0.75,0.1095,15.38,1.18,,0.36
Polymeric,HD: 91.29,-9.25,100 mm3=0.1 cm3,0.49,0.995,8.64,0.45,,2.67
,,,,0.68,0.7164,14.72,0.78,,2.35
,,,,0.91,0.534,18.98,0.99,,1.58
,,,,0.88,0.3914,18.91,1.01,,1.02
,,,,0.79,0.3051,21.53,1.16,,0.85
,,,,0.63,0.1294,22.84,1.52,,0.34
Polymeric,HD: 40,-2,0.17,0.31,,,,,
,,,,0.79,,,,,
,,,,0.96,,,,,
,,,,1.87,,,,,
,,,,2.16,,,,,
,,,,0.9,,,,,
Polymeric,HD: 22.5,0,625 mm3 = 0.625 cm3,1.2,1.327,23.15,1.63,2.16,7.12
,,,,3.34,0.3568,34.12,2.56,0.94,4.36
,,,,5.34,0.039,36.41,3.8,0.41,2.7
,,,,5.55,0.0279,57.75,4.5,0.37,2.3
,,,,3.37,0.0223,52.45,1.32,0.32,1.8
Polymeric,HD: 65,-2,100 mm3=0.1 cm3,0.57,0.8226,8.23,0.95,,4.06
,,,,0.74,0.6438,9.17,1.07,,3.28
,,,,0.88,0.5424,10.02,1.23,,2.1
,,,,1.01,0.4828,10.44,1.35,,1.62
,,,,1.05,0.3636,10.95,1.48,,1.34
,,,,1.25,0.1669,12.39,1.69,,0.55
,,,,1.2,0.0417,11.63,1.6,,0.09
Polymeric,HD: 221.6,,~350 mm3 (from Wilhelm et al. 2016),0.92,,2.61,0.68,0.55,0.6
,,,,2.6,,9.4,3.99,0.32,0.11
,,,,2.22,,8.35,3.78,0.3,0.32
,,,,1.41,,4.83,3.05,0.05,0.07
Polymeric,HD: 20,,0.045,0.12,0.4921,46.29,1.22,4.23,2.47
,,,,0.18,0.532,35.76,0.87,1.95,2.36
,,,,0.33,0.6251,32.21,0.5,1.79,2.6
,,,,0.31,0.8246,27.25,0.48,1.65,2.96
Polymeric,HD: 20,,0.045,0.19,0.3059,56.73,1.94,5.16,1.97
,,,,0.13,0.3591,38.9,1.14,1.42,2.22
,,,,0.32,0.4921,34.24,0.93,1.87,2.16
,,,,0.16,0.5719,21.78,0.5,1.4,2.33
Polymeric,TEM: 42.5; HD: 133.5,-15.75,1 cm3,0.56,,52.71,0.25,0.03,0.14
,,,,2.39,,48.54,0.29,0.03,0.24
,,,,0.91,,45.31,0.52,0.05,0.18
,,,,0.53,,43.3,0.34,0.05,0.15
Polymeric,HD: 149.2,-13.2,100 mm3=0.1 cm3,15,,13.25,6.7,12.19,12.2
,,,,14.58,,16.86,10.4,12.19,10.5
,,,,16.16,,17.28,5.3,9.96,10.7
,,,,12.16,,19.19,4.9,8.69,9.7
,,,,8.58,,15.8,4.4,7.53,8.5
,,,,8.37,,11.98,3.2,6.15,6.4
Polymeric,HD: 157.3,-23.2,100 mm3=0.1 cm3,12.16,,15.48,7.6,13.14,12.6
,,,,13,,18.34,11,13.14,12.8
,,,,13.42,,19.61,6.5,10.39,11.5
,,,,10.58,,22.9,5.8,9.22,9.2
,,,,7.32,,17.39,5.6,8.16,8.6
,,,,6.58,,14.2,4.7,5.94,6.2
Polymeric,HD: 156,-38.4,100 mm3=0.1 cm3,11.65,,16.11,7.3,14.42,13.1
,,,,11.29,,19.4,12.3,13.14,12.5
,,,,12.38,,20.78,7.1,10.49,13.4
,,,,8.85,,25.34,6.5,9.22,10.9
,,,,6.9,,15.27,6,8.16,8.3
,,,,4.59,,18.23,5.4,5.83,6.7
Polymeric,HD: 456.5,-25.1,100 mm3=0.1 cm3,3.06,,21.31,17,16.01,12.3
,,,,6.35,,24.17,18.8,15.8,14.3
,,,,5.01,,28.41,15.5,13.04,10.7
,,,,5.2,,26.61,11.3,12.3,9.4
,,,,4.28,,24.49,8,11.98,9.1
,,,,0.57,,20.35,7.7,9.65,8
Polymeric,HD: 150.1,14.8,100 mm3=0.1 cm3,2.98,,45.05,24.21,2.75,2.41
,,,,3.7,,43.6,21,3.63,3.17
,,,,3.62,,38.62,17.9,5.5,1.19
,,,,3.06,,32.18,14.48,6.49,0.88
,,,,1.66,,30.52,10.76,7.47,0.81
,,,,0.26,,17.23,9.21,1.14,0.03
Polymeric,HD: 150.6,25.5,100 mm3=0.1 cm3,4.05,,45.67,23.79,3.06,2.66
,,,,5.61,,44.01,22.24,4.1,3.31
,,,,4.51,,40.28,18,5.55,1.09
,,,,3.48,,33.43,13.45,7.63,0.74
,,,,3.8,,30.31,9.62,8.77,0.91
,,,,0.12,,20.14,6.62,1.09,0.03
Polymeric,HD: 152.7,34.6,100 mm3=0.1 cm3,4.57,,44.43,24.72,2.96,2.29
,,,,7.77,,41.73,18.93,4.57,2.86
,,,,6.23,,39.65,18.52,5.66,1.14
,,,,5.53,,32.6,14.07,8.36,0.76
,,,,4.43,,30.1,10.03,10.43,0.79
,,,,0.34,,17.65,7.24,1.19,0.03
Polymeric,HD: 300.7,24.4,100 mm3=0.1 cm3,2.04,,51.9,16.86,2.96,2.34
,,,,3.54,,49.62,16.14,4.1,2.9
,,,,3.62,,45.26,15.21,5.55,1.17
,,,,2.76,,35.29,13.76,7.73,0.72
,,,,1.54,,30.31,10.45,8.88,0.79
,,,,0.16,,16.4,9.93,1.19,0.05
Polymeric,HD: 40,-4,100 mm3=0.1 cm3,0.17,,1.06,0.11,,0.37
,,,,0.46,,1.43,0.13,,0.62
,,,,0.57,,1.94,0.23,,0.74
,,,,1.12,,10.67,0.4,,0.79
,,,,1.3,,8.74,0.91,,0.77
,,,,0.52,,4.72,0.44,,0.36
Polymeric,HD: 399,38.1,~1800 mm3 = 1.8 cm3,4.36,0.0732,35.93,3.45,1.64,3.45
,,,,4.59,0.0599,33,3.08,1.2,3.32
,,,,3.41,0.0452,29.01,2.95,0.99,2.45
,,,,4.48,0.0146,14.02,0.51,0.24,0.43
Polymeric,TEM: 242; HD: 276,16.4,~1800 mm3 = 1.8 cm3,5.67,0.0492,34.13,3.22,1.89,2.69
,,,,5.77,0.02,19.45,2.92,1.33,2.55
,,,,4.78,0.0213,25.68,3.15,1.15,1.67
,,,,4.49,0.0652,21.58,2.38,3.11,0.77
Other-Graphene,TEM: 40; HD: 37,-2,150-200 mm3 ~ 0.175 cm3,1.05,,18.6,,,
,,,,1.19,,17,,,
,,,,1.19,,16.97,,,
,,,,1.01,,13.65,,,
,,,,0.96,,13.73,,,
,,,,0.85,,11.68,,,
Other-Graphene,TEM: 40; HD: 26.2,-16.4,150-200 mm3 ~ 0.175 cm3,0.7,,18.12,,,
,,,,0.57,,14.08,,,
,,,,0.64,,14.46,,,
,,,,0.46,,10.56,,,
,,,,0.43,,10.56,,,
,,,,0.35,,8.28,,,
Other-Graphene,TEM: 20; HD: 21.9,-9.46,150-200 mm3 ~ 0.175 cm3,1.22,,16.84,,,
,,,,1.12,,15.88,,,
,,,,0.95,,13.8,,,
,,,,0.84,,13.02,,,
,,,,0.73,,12.41,,,
Other-Graphene,TEM: 20; HD: 27,-0.08,150-200 mm3 ~ 0.175 cm3,0.44,,21.03,,,
,,,,0.45,,17.11,,,
,,,,0.41,,15.25,,,
,,,,0.47,,13.31,,,
,,,,0.51,,12.06,,,
Other-Graphene,TEM: 50; HD: 90,-30,200 mm3 = 0.2 cm3,4.19,2.953,28.05,21.1,2.93,16.07
,,,,11.76,4.9396,23.91,32.12,6.04,14.11
,,,,14.6,5.1007,22.3,30.02,5.59,15.34
,,,,14.09,4.5638,18.39,26.09,3.66,10.06
,,,,11.28,2.8456,14.71,21.89,2.66,6.99
,,,,2.16,1.2349,7.13,6.03,0.18,1.35
Other-Graphene,TEM: 35; HD: 27.7,-9.46,60 mm3 = 0.06 cm3,0.3,,23.78,,,
,,,,0.3,,20.59,,,
,,,,0.27,,19.47,,,
,,,,0.21,,16.29,,,
,,,,0.22,,15.16,,,
,,,,0.16,,10.8,,,
Other-Graphene,TEM: 35; HD: 32.9,-5,60 mm3 = 0.06 cm3,0.47,,25.21,,,
,,,,0.59,,18.72,,,
,,,,0.55,,17.29,,,
,,,,0.41,,14.41,,,
,,,,0.34,,13.92,,,
,,,,0.22,,10.17,,,
Other-Graphene,TEM: 30; HD: 27,-0.08,150-200 mm3 ~ 0.175 cm3,0.79,,10.83,,,
,,,,0.94,,11.54,,,
,,,,1.22,,10.5,,,
,,,,0.94,,8.15,,,
Other-Graphene,TEM: 30; HD: 21.9,-9.46,150-200 mm3 ~ 0.175 cm3,0.61,,12.83,,,
,,,,0.68,,12.14,,,
,,,,0.77,,12,,,
,,,,0.6,,11.88,,,
Other-SWCNT,TEM: 200; HD: 200,,200-300 mm3 ~ 0.25 cm3,0.39,,36.6,,,
,,,,0.56,,38.61,,,
,,,,0.77,,38.14,,,
,,,,0.91,,31.17,,,
,,,,0.8,,30.7,,,
Other-SWCNT,TEM: 200; HD: 200,,200-300 mm3 ~ 0.25 cm3,0.51,,,,,
,,,,0.91,,,,,
,,,,1.23,,,,,
,,,,1.42,,,,,
,,,,1.46,,,,,
Other-SWCNT,TEM: 200; HD: 200,,200-300 mm3 ~ 0.25 cm3,0.36,,20.31,,,
,,,,0.79,,22.67,,,
,,,,1.16,,23.49,,,
,,,,1.26,,17.95,,,
,,,,1.29,,17.83,,,
Other-SWCNT,TEM: 200; HD: 200,,200-300 mm3 ~ 0.25 cm3,1.4,,,,,
,,,,2.79,,,,,
,,,,3.58,,,,,
,,,,3.98,,,,,
,,,,3.99,,,,,
Liposome,HD: 96.4,-59.4,400-600 mm3 ~ 0.5 cm3,0.61,,13.17,1.86,,7.12
,,,,0.5,,14.83,2.3,,6.64
,,,,0.61,,15.47,2.59,,6.64
,,,,1.03,,17,2.96,,7.05
,,,,1.1,,17.64,2.97,,6.22
,,,,1.52,,18.92,3.83,,6.22
,,,,1.72,,20.84,3.89,,5.12
,,,,2,,23.9,2.7,,4.56
,,,,1.8,,22.88,2.23,,3.66
,,,,1.43,,18.79,2.03,,2.28
Liposome,HD: 79.1,-36.1,60-100 mm3 ~ 0.08 cm3,0.03,,3.65,0.57,0.6,
,,,,0.09,,11.78,0.12,0.71,
,,,,0.1,,7.41,0.64,0.77,
,,,,0.18,,7.61,0.14,0.37,
,,,,0.18,,7.21,0.53,0.3,
,,,,0.13,,3.85,0.11,0.19,
,,,,0.16,,3.85,0.14,0.13,
,,,,0.12,,2.05,0.22,0.1,
Liposome,HD: 79.1,-36.1,0.07,0.03,,4.65,0.06,0.64,
,,,,0.17,,2.85,0.08,0.51,
,,,,0.28,,5.64,0.44,0.79,
,,,,0.45,,4.79,0.05,0.37,
,,,,0.5,,5.64,0.3,0.3,
,,,,0.46,,2.23,0.02,0.19,
,,,,0.44,,1.44,0.04,0.13,
,,,,0.27,,0.93,0.13,0.13,
Liposome,HD: 386,20,0.6,1.79,0.054,19.25,0.65,0.15,0.72
,,,,1.79,0.048,17.1,0.49,0.12,0.57
,,,,1.79,0.024,8.37,0.1,0.02,0.3
Liposome,HD: 120,0,0.141,0.4,0.6384,9.52,1.93,1.11,2.36
,,,,1.5,,,,,
,,,,1.1,0.5453,13.98,2.04,0.66,2.03
,,,,1.1,0.3325,7.29,1.33,0.44,1.67
Liposome,HD: 25,-3,~65 mm3 ~ 0.065 cm3,0.13,1.7492,28.21,1.67,1.94,3.07
,,,,0.09,1.531,27.96,1.39,1.29,2.58
,,,,0.1,0.7217,34.73,1.21,0.86,2.25
Liposome,HD: 51,-4,~65 mm3 ~ 0.065 cm3,0.06,0.7546,16.2,1.18,0.96,2.65
,,,,0.05,1.2701,19.08,1.05,1.02,2.08
